Price~Bedrooms~Bathrooms~Size~Street Address~Neighborhood~Borough
$1,950/mo~2bd~1ba~825 sqft~1447 E 2nd St #4~Ocean Parkway~ Brooklyn, NY
$2,700/mo~1bd~1ba~~5 4th Pl #3R~Williamsburg~ Brooklyn, NY
$1,850/mo~1bd~1ba~900 sqft~448 3rd Ave #1R~Gowanus~ Brooklyn, NY
$1,850/mo~1bd~1ba~~320 11th St #4F~Park Slope~ Brooklyn, NY
$3,399/mo~3bd~1ba~~93 Broadway #1~Williamsburg~ Brooklyn, NY
$2,650/mo~3bd~1ba~~94 Decatur St #4F~Bedford Stuyvesant~ Brooklyn, NY
$2,375/mo~3bd~1ba~~574 Maple St #5~Wingate~ Brooklyn, NY
$2,300/mo~3bd~1ba~1,000 sqft~164 E 40th St #2~East Flatbush~ Brooklyn, NY
$2,700/mo~3bd~1ba~800 sqft~351 Midwood St #2F~Prospect Lefferts Gardens~ Brooklyn, NY
$2,999/mo~3bd~1ba~800 sqft~394 Manhattan Ave #3L~Williamsburg~ Brooklyn, NY
$2,795/mo~3bd~1ba~~748 Franklin Ave #3~Crown Heights~ Brooklyn, NY
$2,300/mo~1bd~1ba~~141 Montague St #5~Brooklyn Heights~ Brooklyn, NY
$2,150/mo~3bd~1ba~900 sqft~1261 Herkimer St #3A~Ocean Hill~ Brooklyn, NY
$1,850/mo~2bd~1ba~700 sqft~3321 12th Ave #2R~Kensington~ Brooklyn, NY
$2,200/mo~3bd~1ba~~626 Wilson Ave #3M~Bushwick~ Brooklyn, NY
$2,200/mo~3bd~1ba~~425 E 35th St #3B~East Flatbush~ Brooklyn, NY
$1,350/mo~Studio~1ba~477 sqft~1570 E 14th St #2F~Midwood~ Brooklyn, NY
$1,250/mo~Studio~1ba~~4202 5th Ave #3~Sunset Park~ Brooklyn, NY
$2,300/mo~3bd~1ba~1,000 sqft~2157 Pacific St #2~Ocean Hill~ Brooklyn, NY
$2,000/mo~2bd~1ba~700 sqft~681 Flatbush Ave #2R~Prospect Lefferts Gardens~ Brooklyn, NY
$2,199/mo~3bd~1ba~~1215 Myrtle Ave #4L~Bushwick~ Brooklyn, NY
$2,700/mo~4bd~1ba~~1306 Myrtle Ave #2A~Bushwick~ Brooklyn, NY
$2,700/mo~4bd~1ba~~271 Bleecker St #B~Bushwick~ Brooklyn, NY
$2,800/mo~4bd~1ba~~979 Greene Ave #3A~Bedford Stuyvesant~ Brooklyn, NY
$1,995/mo~1bd~1ba~~383 S 3rd St #6~Williamsburg~ Brooklyn, NY
$2,400/mo~3bd~1ba~750 sqft~609 Nostrand Ave #4~Crown Heights~ Brooklyn, NY
$2,400/mo~3bd~1ba~~1082 De Kalb Ave #1R~Bedford Stuyvesant~ Brooklyn, NY
